Period,Temperature,Effective Temperature,Wind Speed,Wind Direction,Precipitation Amount,Precipitation Type,Solar Radiation,Humidity,Cloud Cover,Demand
11,4.599998474,6.745025635,6,260,0,0,0,73,3,64.4999
12,4.699996948,6.745025635,5.5,255,0,0,0,75.5,3,72.868
13,4.799999237,6.745025635,5,250,0,0,0,78,2,88.9673
14,4.899997711,6.745025635,5,250,0,0,0,77,3,109.0776
15,5,6.745025635,5,250,0,0,0,76,3,130.6475
16,4.899997711,6.745025635,4.5,250,0,0,0,76.5,5,159.8408
17,4.799999237,6.745025635,4,250,0,0,0,77,7,156.5835
18,4.949996948,6.745025635,4,245,0,0,15,78,5,146.5253
19,5.099998474,6.745025635,4,240,0,0,30,79,3,143.2138
20,5.449996948,6.745025635,3.5,235,0,0,115,78,3,140.5982
21,5.799999237,6.745025635,3,230,0,0,200,77,3,136.4789
22,6.299999237,6.745025635,4,235,0,0,285,75,2,132.7967
23,6.799999237,6.745025635,5,240,0,0,370,73,1,133.1289
24,7.049999237,6.745025635,5,235,0,0,430,73.5,4,135.1734
25,7.299999237,6.745025635,5,230,0,0,490,74,6,140.3059
26,7.5,6.745025635,5.5,235,0,0,385,74,7,143.8121
27,7.699996948,6.745025635,6,240,0,0,280,74,7,143.0473
28,7.549999237,6.745025635,5.5,230,0,0,185,75,7,139.4028
29,7.399997711,6.745025635,5,220,0,0,90,76,7,138.8567
30,7.399997711,6.745025635,5,220,0,0,90,78,7,144.6412
31,7.399997711,6.745025635,5,220,0,2,90,80,7,151.6881
32,7.549999237,6.745025635,5.5,225,0,2,60,80,7,168.7095
33,7.699996948,6.745025635,6,230,0,2,30,80,7,194.9677
34,7.699996948,6.745025635,6,230,0,2,15,81,7,220.1329
35,7.699996948,6.745025635,6,230,0,2,0,82,7,245.165
36,7.899997711,6.745025635,6,230,0,2,0,81,7,255.5856
37,8.099998474,6.745025635,6,230,0,0,0,80,7,259.0718
38,7.649997711,6.745025635,5.5,230,0.299999952,0,0,85.5,7,258.2629
39,7.199996948,6.745025635,5,230,0.599999905,0,0,91,7,248.8617
40,7.149997711,6.745025635,5.5,230,0.899999619,0,0,92,7,239.3719
41,7.099998474,6.745025635,6,230,1.199999809,0,0,93,7,222.325
42,7.049999237,6.745025635,6.5,230,1.299999237,0,0,94,7,210.9345
43,7,6.745025635,7,230,1.399999619,2,0,95,7,200.1447
44,7.25,6.745025635,7.5,230,0.699999809,2,0,92.5,7,187.5019
45,7.5,6.745025635,8,230,0,0,0,90,7,172.9787
46,7.849998474,6.745025635,7,225,0.099999964,0,0,88,7,147.5174
47,8.199996948,6.745025635,6,220,0.199999928,0,0,86,7,124.3925
48,8.75,6.745025635,6.5,230,0.099999964,0,0,83,7,107.2447
1,9.299995422,7.295082092,7,240,0,0,0,80,7,109.9868
2,9.299995422,7.295082092,7,240,0,0,0,80,7,86.951
3,9.899993896,7.295082092,10,250,0,0,0,81,7,77.3478
4,10,7.295082092,9.5,250,0,0,0,81.5,7,70.9493
5,10.09999847,7.295082092,9,250,0,2,0,82,7,68.5142
6,10.25,7.295082092,10,250,0,2,0,82,7,66.2072
7,10.3999939,7.295082092,11,250,0,2,0,82,7,63.2781
8,9.949996948,7.295082092,9.5,260,0.5,2,0,86,7,60.9508
9,9.5,7.295082092,8,270,1,0,0,90,7,59.8668
10,9.299995422,7.295082092,8.5,275,2.099998474,0,0,88,5,59.1612
11,9.099998474,7.295082092,9,280,3.199998856,2,0,86,3,62.9835
12,9.449996948,7.295082092,10,280,1.599999428,2,0,75.5,4,71.6003
13,9.799995422,7.295082092,11,280,0,0,0,65,4,89.9307
14,8.849998474,7.295082092,11,290,0,0,0,71.5,5,109.3425
15,7.899997711,7.295082092,11,300,0,2,0,78,6,130.407
16,8.199996948,7.295082092,9,295,0,2,0,71.5,7,159.4612
17,8.5,7.295082092,7,290,0,2,0,65,7,156.8449
18,7.699996948,7.295082092,9,285,0.099999964,2,5,69,6,145.0502
19,6.899997711,7.295082092,11,280,0.199999928,2,10,73,5,140.7883
20,7.449996948,7.295082092,9,280,0.099999964,2,85,69,6,136.8974
21,8,7.295082092,7,280,0,2,160,65,7,131.8566
22,7.5,7.295082092,8,285,0.099999964,2,175,71,7,130.3575
23,7,7.295082092,9,290,0.199999928,2,190,77,7,131.0523
24,6.949996948,7.295082092,9.5,290,0.5,2,255,78,6,133.1267
25,6.899997711,7.295082092,10,290,0.799999714,2,320,79,5,137.3204
26,7.25,7.295082092,9.5,295,0.399999857,2,580,76.5,5,139.2965
27,7.599998474,7.295082092,9,300,0,2,840,74,5,137.7104
28,7.75,7.295082092,9,300,0,2,580,73,6,133.2792
29,7.899997711,7.295082092,9,300,0,0,320,72,7,131.4495
30,7.799999237,7.295082092,8.5,300,0,0,295,71,6,136.2809
31,7.699996948,7.295082092,8,300,0,0,270,70,5,142.0268
32,7.699996948,7.295082092,8.5,300,0,0,190,69,6,158.2026
33,7.699996948,7.295082092,9,300,0,0,110,68,6,182.6797
34,7.399997711,7.295082092,8,305,0,0,55,70.5,5,212.1233
35,7.099998474,7.295082092,7,310,0,0,0,73,3,237.9376
36,6.799999237,7.295082092,6.5,300,0,0,0,75,2,248.2147
37,6.5,7.295082092,6,290,0,0,0,77,1,253.8767
38,6.649997711,7.295082092,7,290,0,0,0,75.5,2,251.1073
39,6.799999237,7.295082092,8,290,0,0,0,74,2,243.2985
40,6.649997711,7.295082092,7.5,290,0,0,0,74.5,2,231.8556
41,6.5,7.295082092,7,290,0,0,0,75,2,216.1964
42,6.599998474,7.295082092,6.5,290,0,0,0,76.5,4,206.0973
43,6.699996948,7.295082092,6,290,0,2,0,78,5,197.4716
44,6.599998474,7.295082092,6,300,0.099999964,2,0,78,6,185.2022
45,6.5,7.295082092,6,310,0.199999928,2,0,78,6,170.0805
46,6.299999237,7.295082092,5.5,305,0.099999964,2,0,79.5,6,145.5151
47,6.099998474,7.295082092,5,300,0,0,0,81,5,124.6236
48,6.199996948,7.295082092,6,300,0,0,0,80.5,6,107.4934
1,6.299999237,6.649860382,7,300,0,0,0,80,7,110.4341
2,6.299999237,6.649860382,7,300,0,0,0,80,7,88.4734
3,5.799999237,6.649860382,7,300,0,0,0,82,2,78.6171
4,5.5,6.649860382,6,300,0,0,0,82.5,2,72.0631
5,5.199996948,6.649860382,5,300,0,0,0,83,1,70.0517
6,5.099998474,6.649860382,4.5,300,0,0,0,82.5,1,67.5945
7,5,6.649860382,4,300,0,0,0,82,1,65.2918
8,4.899997711,6.649860382,4.5,300,0,0,0,82.5,1,63.1931
9,4.799999237,6.649860382,5,300,0,0,0,83,1,61.5429
10,4.349998474,6.649860382,4,310,0,0,0,84.5,3,60.9222
11,3.899999619,6.649860382,3,320,0,0,0,86,4,64.1412
12,3.649999619,6.649860382,2,305,0,0,0,87,4,72.2407
13,3.399999619,6.649860382,1,290,0,0,0,88,3,88.3025
14,3.149999619,6.649860382,2.5,280,0,0,0,89.5,3,108.9939
15,2.899999619,6.649860382,4,270,0,0,0,91,2,133.7595
16,2.949998856,6.649860382,3.5,265,0,0,0,90,3,163.5314
17,3,6.649860382,3,260,0,0,0,89,4,159.415
18,3,6.649860382,3,265,0,0,15,90,4,148.9693
19,3,6.649860382,3,270,0,0,30,91,4,145.966
20,3.399999619,6.649860382,2.5,255,0,0,140,89.5,5,144.4054
21,3.799999237,6.649860382,2,240,0,0,250,88,5,140.2761
22,5.149997711,6.649860382,2,235,0,0,435,82,5,134.9481
23,6.5,6.649860382,2,230,0,0,620,76,5,133.3113
24,7,6.649860382,2.5,240,0,0,690,73.5,6,135.6043
25,7.5,6.649860382,3,250,0,0,760,71,7,140.3497
26,7.25,6.649860382,3,245,0,0,570,73.5,8,144.2672
27,7,6.649860382,3,240,0,0,380,76,8,141.5462
28,7.25,6.649860382,3,235,0,0,330,76,8,135.9021
29,7.5,6.649860382,3,230,0,0,280,76,8,132.9505
30,7.299999237,6.649860382,3.5,220,0,0,290,78.5,7,137.7564
31,7.099998474,6.649860382,4,210,0,0,300,81,6,142.5573
32,7.099998474,6.649860382,4,210,0,0,205,82.5,7,157.5345
33,7.099998474,6.649860382,4,210,0,0,110,84,7,181.5685
34,7.149997711,6.649860382,4.5,205,0,0,60,83.5,7,212.2985
35,7.199996948,6.649860382,5,200,0,0,10,83,7,235.1886
36,7.149997711,6.649860382,5,200,0,0,5,85,8,242.268
37,7.099998474,6.649860382,5,200,0,0,0,87,8,248.7927
38,7.25,6.649860382,4.5,210,0,0,0,87.5,8,248.4609
39,7.399997711,6.649860382,4,220,0,0,0,88,8,238.2188
40,7.5,6.649860382,4,220,0,0,0,89.5,7,228.19
41,7.599998474,6.649860382,4,220,0,0,0,91,6,210.667
42,7.799999237,6.649860382,4,225,0,0,0,91.5,7,199.7404
43,8,6.649860382,4,230,0,0,0,92,7,190.3764
44,8.099998474,6.649860382,4.5,215,0,0,0,92,7,178.6589
45,8.199996948,6.649860382,5,200,0,0,0,92,7,166.8035
46,8.25,6.649860382,5,200,0,0,0,92.5,7,147.3542
47,8.299995422,6.649860382,5,200,0,0,0,93,7,129.4521
48,8.599998474,6.649860382,5,205,0,0,0,94,7,115.3172
1,8.899993896,7.652748108,5,210,0,0,0,95,7,117.7869
2,8.899993896,7.652748108,5,210,0,0,0,95,7,95.1166
3,9.599998474,7.652748108,4,240,0,0,0,93,7,82.6781
4,9.75,7.652748108,4.5,245,0,0,0,91.5,7,74.8334
5,9.899993896,7.652748108,5,250,0,0,0,90,6,71.9616
6,9.5,7.652748108,5,255,0.199999928,0,0,93.5,6,68.7559
7,9.099998474,7.652748108,5,260,0.399999857,2,0,97,5,66.2639
8,9.349998474,7.652748108,6.5,265,0.199999928,2,0,88,6,63.5078
9,9.599998474,7.652748108,8,270,0,2,0,79,6,60.9945
10,9.149993896,7.652748108,8,280,0,2,0,73,4,59.0305
11,8.699996948,7.652748108,8,290,0,0,0,67,1,60.2054
12,8.5,7.652748108,6.5,290,0,0,0,66,2,66.7445
13,8.299995422,7.652748108,5,290,0,0,0,65,3,73.2719
14,7.799999237,7.652748108,4,285,0,0,0,70,3,79.9474
15,7.299999237,7.652748108,3,280,0,0,0,75,3,90.3815
16,7.5,7.652748108,3.5,275,0,0,0,73.5,5,112.329
17,7.699996948,7.652748108,4,270,0,0,0,72,7,128.0625
18,7.649997711,7.652748108,4.5,270,0,0,5,71.5,8,142.1105
19,7.599998474,7.652748108,5,270,0,0,10,71,8,150.584
20,7.649997711,7.652748108,4,270,0,0,65,71,8,154.0374
21,7.699996948,7.652748108,3,270,0,0,120,71,7,155.722
22,8.349998474,7.652748108,3.5,265,0,0,385,67,7,155.2874
23,9,7.652748108,4,260,0,0,650,63,6,153.669
24,8.799995422,7.652748108,4.5,270,0,0,600,64,6,155.8556
25,8.599998474,7.652748108,5,280,0,0,550,65,6,160.7958
26,8.799995422,7.652748108,6,280,0,0,500,63,7,160.9211
27,9,7.652748108,7,280,0,0,450,61,7,159.1578
28,8.949996948,7.652748108,7,280,0,0,440,60,8,153.3203
29,8.899993896,7.652748108,7,280,0,0,430,59,8,149.8606
30,8.849998474,7.652748108,6.5,290,0,0,385,60,8,153.622
31,8.799995422,7.652748108,6,300,0,0,340,61,7,159.5393
32,8.549995422,7.652748108,5.5,300,0,0,200,61.5,7,168.5269
33,8.299995422,7.652748108,5,300,0,0,60,62,7,189.4584
34,8.149993896,7.652748108,5,300,0,0,30,63.5,8,213.4116
35,8,7.652748108,5,300,0,0,0,65,8,233.5099
36,7.799999237,7.652748108,4.5,290,0,0,0,67.5,8,243.3811
37,7.599998474,7.652748108,4,280,0,0,0,70,8,243.0113
38,7.599998474,7.652748108,4,275,0,0,0,70.5,8,237.2014
39,7.599998474,7.652748108,4,270,0,0,0,71,8,224.151
40,7.649997711,7.652748108,5.5,275,0,0,0,69.5,8,212.905
41,7.699996948,7.652748108,7,280,0,0,0,68,8,201.0564
42,7.649997711,7.652748108,6.5,275,0,0,0,69,8,192.6377
43,7.599998474,7.652748108,6,270,0,0,0,70,8,181.2388
44,7.649997711,7.652748108,6.5,270,0,0,0,70,8,172.0392
45,7.699996948,7.652748108,7,270,0,0,0,70,8,161.3036
46,7.649997711,7.652748108,7.5,270,0,0,0,70.5,8,144.5114
47,7.599998474,7.652748108,8,270,0,0,0,71,8,129.3215
48,7.799999237,7.652748108,7.5,275,0,0,0,69,8,116.5676
1,8,8.226493835,7,280,0,0,0,67,8,118.7589
2,8,8.226493835,7,280,0,0,0,67,8,96.0878
3,7.799999237,8.226493835,5,290,0,0,0,69,8,84.2131
4,7.799999237,8.226493835,5,290,0,0,0,69,8,76.657
5,7.799999237,8.226493835,5,290,0,0,0,69,8,73.7204
6,7.849998474,8.226493835,5,290,0,0,0,68.5,8,69.5048
7,7.899997711,8.226493835,5,290,0,0,0,68,8,65.4851
8,7.849998474,8.226493835,5,290,0,0,0,69,8,63.3306
9,7.799999237,8.226493835,5,290,0,0,0,70,8,61.5382
10,7.699996948,8.226493835,4.5,290,0,0,0,72,8,59.1132
11,7.599998474,8.226493835,4,290,0,0,0,74,8,59.2941
12,7.649997711,8.226493835,4,295,0,0,0,73,8,64.4143
13,7.699996948,8.226493835,4,300,0,0,0,72,8,69.5746
14,7.699996948,8.226493835,4,300,0,0,0,71.5,8,74.2313
15,7.699996948,8.226493835,4,300,0,0,0,71,8,81.6242
16,7.649997711,8.226493835,4,310,0,0,0,71,8,99.5072
17,7.599998474,8.226493835,4,320,0,0,0,71,8,115.6303
18,7.049999237,8.226493835,2.5,275,0,0,10,73.5,8,133.9232
19,6.5,8.226493835,1,230,0,0,20,76,7,148.9263
20,6.949996948,8.226493835,2,245,0,0,95,76,7,159.0531
21,7.399997711,8.226493835,3,260,0,0,170,76,7,167.0685
22,8.049995422,8.226493835,2.5,245,0,0,370,73.5,4,171.8844
23,8.699996948,8.226493835,2,230,0,0,570,71,1,175.7108
24,8.799995422,8.226493835,3,250,0,0,560,73,4,180.6592
25,8.899993896,8.226493835,4,270,0,0,550,75,6,188.4043
26,9.049995422,8.226493835,4,275,0,0,420,77.5,7,191.6698
27,9.199996948,8.226493835,4,280,0,0,290,80,7,187.2676
28,9.549995422,8.226493835,4,270,0,0,335,79,7,182.2132
29,9.899993896,8.226493835,4,260,0,0,380,78,7,179.7937
30,10.09999847,8.226493835,4,265,0,0,320,80,7,179.2961
31,10.29999542,8.226493835,4,270,0,0,260,82,7,184.5244
32,9.75,8.226493835,3,245,0,0,200,84.5,5,192.1801
33,9.199996948,8.226493835,2,220,0,0,140,87,2,212.1485
34,8.599998474,8.226493835,2,190,0,0,75,90,4,238.1858
35,8,8.226493835,2,160,0,0,10,93,6,254.5573
36,8.75,8.226493835,2.5,205,0,0,5,90,7,254.4022
37,9.5,8.226493835,3,250,0,0,0,87,8,250.0701
38,9.649993896,8.226493835,3,250,0,0,0,85.5,8,241.6868
39,9.799995422,8.226493835,3,250,0,0,0,84,8,229.2069
40,9.25,8.226493835,2.5,240,0,0,0,85,6,218.864
41,8.699996948,8.226493835,2,230,0,0,0,86,3,210.0133
42,8.399993896,8.226493835,2.5,240,0,0,0,89,2,199.758
43,8.099998474,8.226493835,3,250,0,0,0,92,1,187.0375
44,8.149993896,8.226493835,2.5,240,0,0,0,92,4,174.8193
45,8.199996948,8.226493835,2,230,0,0,0,92,6,159.9065
46,8.549995422,8.226493835,2,230,0,0,0,91.5,7,136.8336
47,8.899993896,8.226493835,2,230,0,0,0,91,7,115.8195
48,8.75,8.226493835,3,250,0,0,0,92,7,99.0916
1,8.599998474,9.369827271,4,270,0,2,0,93,6,102.8185
2,8.599998474,9.369827271,4,270,0,2,0,93,6,82.8645
3,8.699996948,9.369827271,4,250,0.199999928,0,0,88,7,73.6054
4,8.75,9.369827271,3,245,0.099999964,0,0,83,8,67.3341
5,8.799995422,9.369827271,2,240,0,0,0,78,8,65.2297
6,8.849998474,9.369827271,2.5,235,0,0,0,75.5,8,63.005
7,8.899993896,9.369827271,3,230,0,0,0,73,8,60.8957
8,8.699996948,9.369827271,3,225,0,0,0,76,8,59.1048
9,8.5,9.369827271,3,220,0,0,0,79,7,57.5739
10,8.049995422,9.369827271,3,220,0,0,0,81,6,57.9889
11,7.599998474,9.369827271,3,220,0,0,0,83,5,61.4243
12,7.25,9.369827271,3,215,0,0,0,85,5,69.6423
13,6.899997711,9.369827271,3,210,0,0,0,87,5,88.965
14,7.299999237,9.369827271,3,215,0,0,0,86.5,6,109.0861
15,7.699996948,9.369827271,3,220,0,0,0,86,7,129.5584
16,7.849998474,9.369827271,3,225,0,0,0,85.5,7,158.5327
17,8,9.369827271,3,230,0,0,0,85,7,153.9065
18,8.299995422,9.369827271,3.5,225,0,0,20,85,6,139.8186
19,8.599998474,9.369827271,4,220,0,0,40,85,4,137.0117
20,8.849998474,9.369827271,3,220,0,0,120,83.5,3,133.5324
21,9.099998474,9.369827271,2,220,0,0,200,82,1,128.0424
22,10,9.369827271,4,235,0,0,285,80.5,4,125.4404
23,10.8999939,9.369827271,6,250,0,0,370,79,6,124.4579
24,10.84999847,9.369827271,6,250,0,0,455,78.5,7,126.4479
